Matrix1,Matrix2,cuBlas (µs),cuSparse (µs),gpuDense (µs),gpuSparse (µs),Blas (µs),cpuSparseParallel (µs),cpuDenseParallel (µs)
s-vs-d_0.02_B0.mtx,s-vs-d_0.02_A0.mtx,30940,41037,340282366920938463463374607431768211455,1,109391,12177,340282366920938463463374607431768211455
s-vs-d_0.02_B0.mtx,s-vs-d_0.02_A1.mtx,30991,43642,340282366920938463463374607431768211455,1,64623,12622,340282366920938463463374607431768211455
s-vs-d_0.02_B0.mtx,s-vs-d_0.02_B1.mtx,31868,40572,340282366920938463463374607431768211455,1,66258,12161,340282366920938463463374607431768211455
s-vs-d_0.02_B1.mtx,s-vs-d_0.02_A0.mtx,31599,29285,340282366920938463463374607431768211455,1,67302,8541,340282366920938463463374607431768211455
s-vs-d_0.02_B1.mtx,s-vs-d_0.02_A1.mtx,31973,30749,340282366920938463463374607431768211455,1,91310,8792,340282366920938463463374607431768211455
s-vs-d_0.02_B1.mtx,s-vs-d_0.02_B0.mtx,33794,28674,340282366920938463463374607431768211455,1,72008,8701,340282366920938463463374607431768211455
s-vs-d_0.035_A0.mtx,s-vs-d_0.035_A1.mtx,32512,94333,340282366920938463463374607431768211455,1,68875,28467,340282366920938463463374607431768211455
s-vs-d_0.035_A0.mtx,s-vs-d_0.035_B0.mtx,32481,94199,340282366920938463463374607431768211455,1,101184,64928,340282366920938463463374607431768211455
s-vs-d_0.035_A0.mtx,s-vs-d_0.035_B1.mtx,29303,80260,340282366920938463463374607431768211455,1,63064,29911,340282366920938463463374607431768211455
s-vs-d_0.035_A1.mtx,s-vs-d_0.035_A0.mtx,29393,76690,340282366920938463463374607431768211455,1,65634,23936,340282366920938463463374607431768211455
s-vs-d_0.035_A1.mtx,s-vs-d_0.035_B0.mtx,30048,80303,340282366920938463463374607431768211455,1,66661,25294,340282366920938463463374607431768211455
s-vs-d_0.035_A1.mtx,s-vs-d_0.035_B1.mtx,29383,68908,340282366920938463463374607431768211455,1,64156,24897,340282366920938463463374607431768211455
s-vs-d_0.035_B0.mtx,s-vs-d_0.035_A0.mtx,29247,73675,340282366920938463463374607431768211455,1,75452,27926,340282366920938463463374607431768211455
s-vs-d_0.035_B0.mtx,s-vs-d_0.035_A1.mtx,29221,74543,340282366920938463463374607431768211455,1,92214,23167,340282366920938463463374607431768211455
s-vs-d_0.035_B0.mtx,s-vs-d_0.035_B1.mtx,29558,70255,340282366920938463463374607431768211455,1,75081,24101,340282366920938463463374607431768211455
s-vs-d_0.035_B1.mtx,s-vs-d_0.035_A0.mtx,29928,74984,340282366920938463463374607431768211455,1,71560,25092,340282366920938463463374607431768211455
s-vs-d_0.035_B1.mtx,s-vs-d_0.035_A1.mtx,31299,72034,340282366920938463463374607431768211455,1,69838,23335,340282366920938463463374607431768211455
s-vs-d_0.035_B1.mtx,s-vs-d_0.035_B0.mtx,31648,74353,340282366920938463463374607431768211455,1,72468,22935,340282366920938463463374607431768211455
s-vs-d_0.03_A0.mtx,s-vs-d_0.03_A1.mtx,31699,75997,340282366920938463463374607431768211455,1,72646,25117,340282366920938463463374607431768211455
s-vs-d_0.03_A0.mtx,s-vs-d_0.03_B0.mtx,30905,73111,340282366920938463463374607431768211455,1,71187,23156,340282366920938463463374607431768211455
s-vs-d_0.03_A0.mtx,s-vs-d_0.03_B1.mtx,31677,71477,340282366920938463463374607431768211455,1,82629,24489,340282366920938463463374607431768211455
s-vs-d_0.03_A1.mtx,s-vs-d_0.03_A0.mtx,31310,61248,340282366920938463463374607431768211455,1,67032,19249,340282366920938463463374607431768211455
s-vs-d_0.03_A1.mtx,s-vs-d_0.03_B0.mtx,30481,60777,340282366920938463463374607431768211455,1,75785,20533,340282366920938463463374607431768211455
s-vs-d_0.03_A1.mtx,s-vs-d_0.03_B1.mtx,30256,57470,340282366920938463463374607431768211455,1,64435,20217,340282366920938463463374607431768211455
s-vs-d_0.03_B0.mtx,s-vs-d_0.03_A0.mtx,30974,51194,340282366920938463463374607431768211455,1,65994,17928,340282366920938463463374607431768211455
s-vs-d_0.03_B0.mtx,s-vs-d_0.03_A1.mtx,30294,55327,340282366920938463463374607431768211455,1,74511,26737,340282366920938463463374607431768211455
s-vs-d_0.03_B0.mtx,s-vs-d_0.03_B1.mtx,29923,51509,340282366920938463463374607431768211455,1,73373,18992,340282366920938463463374607431768211455
s-vs-d_0.03_B1.mtx,s-vs-d_0.03_A0.mtx,31276,62503,340282366920938463463374607431768211455,1,81934,23637,340282366920938463463374607431768211455
s-vs-d_0.03_B1.mtx,s-vs-d_0.03_A1.mtx,30621,68891,340282366920938463463374607431768211455,1,75839,19604,340282366920938463463374607431768211455
s-vs-d_0.03_B1.mtx,s-vs-d_0.03_B0.mtx,29609,64794,340282366920938463463374607431768211455,1,64667,18447,340282366920938463463374607431768211455
s-vs-d_0.045_A0.mtx,s-vs-d_0.045_A1.mtx,29825,122290,340282366920938463463374607431768211455,1,68558,37578,340282366920938463463374607431768211455
s-vs-d_0.045_A0.mtx,s-vs-d_0.045_B0.mtx,29609,113224,340282366920938463463374607431768211455,1,164254,51095,340282366920938463463374607431768211455
s-vs-d_0.045_A0.mtx,s-vs-d_0.045_B1.mtx,28307,109646,340282366920938463463374607431768211455,1,69135,38560,340282366920938463463374607431768211455
s-vs-d_0.045_A1.mtx,s-vs-d_0.045_A0.mtx,29681,115451,340282366920938463463374607431768211455,1,65407,45579,340282366920938463463374607431768211455
s-vs-d_0.045_A1.mtx,s-vs-d_0.045_B0.mtx,28730,128481,340282366920938463463374607431768211455,1,74135,45385,340282366920938463463374607431768211455
s-vs-d_0.045_A1.mtx,s-vs-d_0.045_B1.mtx,28743,122615,340282366920938463463374607431768211455,1,65940,43127,340282366920938463463374607431768211455
s-vs-d_0.045_B0.mtx,s-vs-d_0.045_A0.mtx,31339,96708,340282366920938463463374607431768211455,1,78679,36682,340282366920938463463374607431768211455
s-vs-d_0.045_B0.mtx,s-vs-d_0.045_A1.mtx,30393,110517,340282366920938463463374607431768211455,1,67991,32671,340282366920938463463374607431768211455
s-vs-d_0.045_B0.mtx,s-vs-d_0.045_B1.mtx,30308,100150,340282366920938463463374607431768211455,1,71701,34935,340282366920938463463374607431768211455
s-vs-d_0.045_B1.mtx,s-vs-d_0.045_A0.mtx,28395,104209,340282366920938463463374607431768211455,1,70143,38915,340282366920938463463374607431768211455
s-vs-d_0.045_B1.mtx,s-vs-d_0.045_A1.mtx,29091,116883,340282366920938463463374607431768211455,1,67742,38170,340282366920938463463374607431768211455
s-vs-d_0.045_B1.mtx,s-vs-d_0.045_B0.mtx,28550,114209,340282366920938463463374607431768211455,1,72336,38519,340282366920938463463374607431768211455
s-vs-d_0.04_A0.mtx,s-vs-d_0.04_A1.mtx,29102,89433,340282366920938463463374607431768211455,1,70843,31607,340282366920938463463374607431768211455
s-vs-d_0.04_A0.mtx,s-vs-d_0.04_B0.mtx,29580,88080,340282366920938463463374607431768211455,1,64768,33632,340282366920938463463374607431768211455
s-vs-d_0.04_A0.mtx,s-vs-d_0.04_B1.mtx,29846,85950,340282366920938463463374607431768211455,1,88502,33756,340282366920938463463374607431768211455
s-vs-d_0.04_A1.mtx,s-vs-d_0.04_A0.mtx,31529,110446,340282366920938463463374607431768211455,1,78751,35495,340282366920938463463374607431768211455
